starid,name,country,magnitude,constellation,date
HD 215803,Anatolіy Brovarchook ,Ukraine,9.17,Gru,2019-03-04
HD 24131,Ania Corona,Venezuela,5.78,Per,2019-03-04
HD 54377,Athos Giordano,Italy,9.15,CMi,2019-03-05
HD 72443,Feroz Pathak ,India,8.83,Hya,2019-03-06
HD 36859,Galih Prastuti ,Indonesia,6.27,Tau,2019-03-07
HD 177832,Julia Ylihärsilä,Finland,8.64,Aql,2019-03-07
HD 7380,Fatima Kari ,India,9.23,Cet,2019-03-07
HD 204617,Richard Renard ,France,8.84,Aqr,2019-03-08
HD 109914,Suhail Bahar,Siria,7.77,Vir,2019-03-09
HD 198290,Moira Ontiveros,Uruguay,8.65,Del,2019-03-09
HD 89411,Christop Kirlin ,USA,8.69,Vel,2019-03-09
HD 57667,Isabella Pereira,Brazil,7.53,Lyn,2019-03-09
HD 121343,Sebastian Bell ,United Kingdom,7.43,UMa,2019-03-09
HD 70871,Alexandre Robin ,France,8.17,Pup,2019-03-09
HD 169340,Élisabeth Cohen ,France,8.55,CrA,2019-03-09
HD 33037,Olga Puspita ,Indonesia,7.98,Ori,2019-03-09
HD 47525,Ivah Abshire ,USA,7.43,Gem,2019-03-09
HD 188330,Summer Dixon,USA,7.98,Aql,2019-03-09
HD 86035,Donnino Capon,Italy,8.06,Vel,2019-03-10
HD 41652,Xiao Hong Lung,China,7.46,Pic,2019-03-11
HD 145917,Sakura Ramadan ,Indonesia,8.67,Sco,2019-03-11
HD 118864,Tia Palmer,USA,9.23,Boo,2019-03-12
HD 125420,Qiong Hou,China,8.83,Lup,2019-03-12
HD 156058,Kieran Wuckert ,Philippines,7.7,Oph,2019-03-12
HD 189783,Johan Bartell ,USA,6.97,Aql,2019-03-12
HD 204922,Przemek Woźniak,Poland,8.16,Cyg,2019-03-13
HD 205448,Majida Totah,Pakistan,7.16,Gru,2019-03-13
HD 61470,Arpit Varghese ,India,7.18,Pup,2019-03-13
HD 26751,Édith Ouellet,Canada,7.95,Eri,2019-03-14
HD 123641,Thelma Bieshaar,Netherlands,8.91,Aps,2019-03-14
HD 6209,Sabina Dhar ,India,8.61,Cas,2019-03-15
HD 154223,Santokh Devaraj ,Malaysia,8.02,Ara,2019-03-16
HD 143704,Bari'ah Qureshi,Pakistan,7.07,CrB,2019-03-17
HD 89402,Verónica Sosa,Cuba,8.77,Car,2019-03-17
HD 137949,Sabina Belova,Russia,6.69,Lib,2019-03-17
HD 100105,Armanda Quezada,Chile,8.61,UMa,2019-03-18
HD 167368,Elene Kokkinoe ,Greece,8.64,Tel,2019-03-19
HD 197909,Honoré Didier ,France,7.24,Oct,2019-03-19
HD 84746,Evelyn Zaragoza,Mexico,8.81,Dra,2019-03-19
HD 33400,Sabrina Navarrete,Chile,7.84,Tau,2019-03-19
HD 139176,Scarlett Doyle,New Zealand,9.87,Ser,2019-03-20
HD 193529,Avril Denis,Ivory Coast,7.98,Pav,2019-03-20
HD 33809,Thara' Tuma,Saudi Arabia,8.5,Col,2019-03-20
HD 54153,'A'idah Shamoon,UAE,6.09,Pup,2019-03-21
HD 95216,Jing Shen,China,6.53,Leo,2019-03-21
HD 194570,Victoria Brandt,Denmark,8.18,Sgr,2019-03-22
HD 21741,Rebecca Farmer,USA,8.24,Cas,2019-03-23
HD 77189,Imogen Mitchell,Ireland,7.34,Lyn,2019-03-24
HD 204585,Arvel Smitham ,USA,5.84,Peg,2019-03-25
HD 145247,Kang Fan,China,8.43,Ser,2019-03-26
HD 334039,Ananya Seth ,India,8.29,Cyg,2019-03-26
HD 130141,Lisa Ackermann,Germany,8.28,Aps,2019-03-27
HD 214453,Iqbal Philip ,India,8.78,Gru,2019-03-27
HD 211887,Dennis Bodrov,Russia,9.2,Cep,2019-03-27
HD 235746,Freddie Gardner,Australia,8.56,Lac,2019-03-27
HD 191691,Hui Slijkhuis,Netherlands,8.55,Aql,2019-03-27
HD 11500,Alla Artemieva,Russia,9.25,Cet,2019-03-28
HD 197190,Laya Cordova,Spain,9.18,Mic,2019-03-29
HD 142117,Marisa Castro,Brazil,7.72,Nor,2019-03-30
HD 34705,Amélie Delmas ,France,8.97,Col,2019-03-30
HD 176441,Magnolia Vaillancourt,Ivory Coast,7.06,Aql,2019-03-31
HD 114524,Geralda Blok,Netherlands,9.48,Hya,2019-03-31
HD 1627,Eloise Laliberté,Canada,7.03,Psc,2019-03-31
HD 189247,Jaecheol No ,South Korea,7.66,Sgr,2019-04-01
HD 161270,Shan Hsueh,China,6.16,Oph,2019-04-01
HD 170234,Tess Denis ,Belgium,8.2,Sct,2019-04-01
HD 61312,Saif al Din Salib,UAE,6.6,Vol,2019-04-01
HD 64830,Hank Beer ,USA,9.34,Car,2019-04-02
HD 150302,Cai T'ang,China,9.41,Ara,2019-04-02
HD 218537,Grizel Villaseñor,Spain,6.25,Cep,2019-04-02
HD 192702,Hamdiyah Shamoun,Saudi Arabia,9.4,Sgr,2019-04-02
HD 21755,Damiana Davide,Italy,5.93,Tau,2019-04-02
HD 19377,Chanelle Holmberg,Sweden,8.34,Eri,2019-04-03
HD 110886,Sandra Kjeldsen,Norway,8.2,Vir,2019-04-03
HD 3498,Salvatore Scheidegger ,Switzerland,8.77,And,2019-04-03
HD 61310,Noe Montemayor,Spain,8.85,Pup,2019-04-03
HD 214716,Gulnara Avdeeva,Russia,6.65,Lac,2019-04-03
HD 34307,Angelo Willi ,Switzerland,7.88,Ori,2019-04-03
HD 3554,Ammiel Jaramillo,Guatemala,9.04,Cas,2019-04-04
HD 58157,Camila Rodrigues,Brazil,8.87,Pup,2019-04-04
HD 15507,Annabella Veld,South Africa,8.66,Eri,2019-04-04
HD 155666,Shen Peng,China,8.44,Sco,2019-04-04
HD 168352,Sandra Bach,Denmark,8.67,Sgr,2019-04-04
HD 144979,Larissa Souza,Brazil,9.25,Ser,2019-04-05
HD 181477,Shannon James ,United Kingdom,8.97,Sgr,2019-04-06
HD 71657,Runjhun Saraf ,India,8.33,Cam,2019-04-06
HD 214674,Fang Yin Ho,China,7.78,PsA,2019-04-06
HD 41883,Pantelia Konstantinoe ,Greece,8.86,Col,2019-04-06
HD 174876,Sophie Reed,Australia,8.52,Pav,2019-04-06
HD 19509,Benjamin Morris ,United Kingdom,6.95,Per,2019-04-07
HD 130714,Madhu Grover ,India,7.46,Cen,2019-04-07
HD 90878,Abeer Bata,Morocco,7.8,Leo,2019-04-07
HD 2866,Faith West,USA,6.74,And,2019-04-07
HD 21473,Nancsi Baranyi,Hungary,6.33,Eri,2019-04-08
HD 40191,Zhen Chou,China,8.98,Lep,2019-04-09
HD 52242,Domikene Guajardo,Mexico,7.39,CMa,2019-04-09
HD 41063,Georgia Morton,USA,9.03,Mon,2019-04-09
HD 73080,Caren Guardado,Mexico,6.63,Cnc,2019-04-10
HD 145388,Etha Lehner ,USA,5.27,Aps,2019-04-11
HD 172624,Bruna Sousa,Brazil,9.4,Sgr,2019-04-12
HD 48293,Sophia Schroder,Austria,8.37,Pic,2019-04-12
HD 32219,Paun Bernal,Argentina,6.76,Ori,2019-04-13
HD 131668,Yasmin Hooper,USA,8.42,Boo,2019-04-14
HD 3638,Alice Lima,Portugal,7.76,Cas,2019-04-15
HD 174278,Karitte Pulido,Spain,9.55,Aql,2019-04-15
HD 13402,Rayisa Myelʲnichyenko ,Ukraine,8.08,Cas,2019-04-15
HD 123506,Lili Shih,China,9.18,Cen,2019-04-16
HD 238083,Tilly Manning,USA,8.92,UMa,2019-04-16
HD 5597,Dorotea Collado,Spain,6.55,And,2019-04-16
HD 268501,Fusca Quiroz,Spain,8.52,Gem,2019-04-17
HD 79555,Faith Lambert,USA,7.91,Hya,2019-04-18
HD 170886,Matilda Law,USA,6.97,Sgr,2019-04-19
HD 21244,Štěpánka Jochová,Czech Republic,9.46,Tau,2019-04-19
HD 200083,Gilles Giraud ,France,9.62,Cap,2019-04-19
HD 9898,Halette Jalbert,Canada,9.94,Oct,2019-04-19
HD 46531,Sophie McLean,New Zealand,8.37,Aur,2019-04-19
HD 34344,Zelmira Barreto,Spain,8.31,Lep,2019-04-20
HD 61258,Gabriel Marty ,France,9.32,Pup,2019-04-20
HD 173508,Claudia Matveyeva,Russia,9.04,Pav,2019-04-20
HD 172669,Sumayyah Shamoon,Iran,7.58,Dra,2019-04-21
HD 33684,Poppy Stewart ,United Kingdom,5.19,Dor,2019-04-22
HD 49935,Tatyana Schmitt ,USA,6.87,Mon,2019-04-23
HD 196489,Luiza Oliveira,Brazil,8.48,Cyg,2019-04-24
HD 223391,Pranay Bahl ,India,8.84,Peg,2019-04-24
HD 72832,Mario Gottschalk,Austria,5.92,Vel,2019-04-24
HD 286207,Cameron Barber,USA,9.62,Tau,2019-04-25
HD 37105,Konsta Hietanen,Finland,8.18,Col,2019-04-26
HD 2880,Kamille Segura,Spain,8.54,Cet,2019-04-26
HD 87551,Jasmine Simpson ,United Kingdom,8.28,Sex,2019-04-27
HD 5135,Dora Cárdenas,Argentina,7.88,Phe,2019-04-28
HD 201753,'Asriyah Botros,Egypt,7.89,Aqr,2019-04-28
HD 221580,Jenna van den Wildenberg,South Africa,9.18,Phe,2019-04-28
HD 69456,Samanta Huel ,USA,8.53,Cnc,2019-04-29
HD 188929,Florian Kessler ,USA,6.79,Vul,2019-04-30
HD 160602,Faith Watson,USA,8.07,Pav,2019-04-30
HD 6784,Wille Söderberg,Sweden,8.05,Cas,2019-05-01
HD 95261,Helena Mládková,Slovakia,8.76,Vel,2019-05-01
HD 163378,Fosca Siciliano,Italy,7.78,Sco,2019-05-01
HD 13122,Reima Paasivirta,Finland,6.66,Cas,2019-05-02
HD 84110,Cesira Farías,Spain,8.56,Leo,2019-05-03
HD 122998,Harriet Watkins,Australia,9.17,Cen,2019-05-03
HD 196850,Agostino Fallaci,Italy,6.76,Cyg,2019-05-03
HD 13060,Shi Liang,China,8.93,Hyi,2019-05-04
HD 38248,Daniel Williams ,United Kingdom,9.02,Ori,2019-05-04
HD 151576,Jarne Ceulemans ,Belgium,9.56,Oph,2019-05-05
HD 199392,Apollo Abreu,Spain,8.31,Cep,2019-05-05
HD 120199,Ida Nilsson,Norway,8.62,Boo,2019-05-05
HD 120859,Samantha Hayes,USA,8.09,Cen,2019-05-05
HD 49996,Angelita King ,USA,9.74,CMa,2019-05-05
HD 225653,Flora Bogdanova,Russia,9.86,Cyg,2019-05-05
HD 74859,Jeannine van Wees,Netherlands,6.79,Hya,2019-05-05
HD 123429,Tia Whitehead,Ireland,8.89,Cen,2019-05-06
HD 127645,Valeriya Maslova,Russia,8.75,Cen,2019-05-07
HD 16954,Rajendra Rao ,India,7.37,Tri,2019-05-07
HD 21140,Julia Kers,South Africa,7.84,Cas,2019-05-07
HD 41284,Jochen van der Luit,South Africa,8.94,Ori,2019-05-07
HD 150987,Joanne James ,United Kingdom,9.17,Sco,2019-05-07
HD 211784,Alice Selezneva,Russia,7.49,Peg,2019-05-07
HD 235729,Květoslava Hujerová,Czech Republic,8.79,Lac,2019-05-07
HD 33427,Elizabeth Bond,USA,6.62,Aur,2019-05-07
HD 168654,Marilyn Yáñez,Mexico,8.18,Lyr,2019-05-07
HD 194396,Paula Rasi,Finland,7.4,Sgr,2019-05-07
HD 13595,Anna Lambert,USA,9.13,Ari,2019-05-07
HD 6866,Jud Ganem,Iraq,7.7,Cet,2019-05-07
HD 33605,Shannon Hudson,USA,8.58,Tau,2019-05-08
HD 119349,Mario Fink,Austria,8.78,CVn,2019-05-08
HD 170541,Vanya Budiman ,Indonesia,7.48,Dra,2019-05-09
HD 124404,Tim Klein,Austria,8.82,Cen,2019-05-09
HD 161322,Ágatha Sousa,Brazil,6.91,Oph,2019-05-09
HD 222120,Lowie Geerts ,Belgium,7.41,Phe,2019-05-09
HD 127340,Noémi Markó,Hungary,8.88,Hya,2019-05-09
HD 285444,Jack Bell,New Zealand,8.95,Tau,2019-05-09
HD 148041,Xue Fang Huang,China,9.16,Sco,2019-05-10
HD 124102,Jules Eichhorn,South Africa,8.51,Boo,2019-05-10
HD 37196,Na'ilah Mikhail,UAE,7.86,Men,2019-05-10
HD 15683,Izabella Majewska,Poland,6.84,And,2019-05-11
HD 178445,Libera Maria Folliero,Italy,9.36,Tel,2019-05-11
HD 81175,Freddie James,USA,7.38,Car,2019-05-11
HD 112070,Narjiss Baselmans,South Africa,8.95,CVn,2019-05-12
HD 27766,Nusrat Essa,Tunis,8.02,Eri,2019-05-13
HD 24150,Zoilo Almaraz,Guatemala,6.75,Eri,2019-05-13
HD 94012,Luja Naser,Egypt,7.85,Leo,2019-05-14
HD 122866,Malina Sokołowska,Poland,6.16,UMa,2019-05-14
HD 67704,Katerina Larionova,Russia,6.97,Vel,2019-05-14
HD 222602,Tuur Kaya ,Belgium,5.89,Psc,2019-05-14
HD 49592,Shaymaa Koury,UAE,7.63,Pup,2019-05-14
HD 929,Vitoria Cunha,Brazil,8.08,Peg,2019-05-14
HD 106554,Elena Bogdanović ,Croatia,8.14,Mus,2019-05-15
HD 5414,Lukas Hermann ,Philippines,7.98,Cet,2019-05-15
HD 115437,Daniela Kertzmann ,Philippines,9.72,Cen,2019-05-16
HD 125612,Clara Aleksandrova,Russia,8.31,Vir,2019-05-17
HD 155802,Arridano Vadeboncoeur,Canada,8.49,Oph,2019-05-17
HD 118926,Jad Allah Wasem,Egypt,9.61,Vir,2019-05-17
HD 79054,Fleta Prohaska ,Philippines,8.42,Car,2019-05-17
HD 223188,Victoria Hermansen,Denmark,7.38,Tuc,2019-05-17
HD 32940,Mumayyaz Aswad,UAE,9.03,Eri,2019-05-17
HD 121476,Louisa Montano,Argentina,7.89,Boo,2019-05-18
HD 344394,Antonella Lerma,Spain,9.69,Vul,2019-05-18
HD 48172,Jonathan Stewart ,United Kingdom,9.78,Aur,2019-05-18
HD 91655,Xiao Chen Yuan,China,7.88,LMi,2019-05-19
HD 153144,Ilian Botello,Chile,8.09,Dra,2019-05-19
HD 102116,Natasja Nørgaard,Norway,8.7,Cen,2019-05-20
HD 53240,Bethany Fuller,USA,6.44,Mon,2019-05-21
HD 194078,Shuang Ni,China,8.19,Aql,2019-05-21
HD 91241,Nona Ankudinova,Russia,8.06,Vel,2019-05-22
HD 64566,Dan Lü,China,6.95,Pup,2019-05-22
HD 78639,Jessica Clarke ,United Kingdom,7.84,Hya,2019-05-23
HD 154650,Marcelle Goldner ,USA,7.82,Dra,2019-05-23
HD 344813,Hawwa Cham,Pakistan,9.21,Vul,2019-05-24
HD 97832,Ulrike Schiffer,Germany,8.2,UMa,2019-05-25
HD 10157,Killa Macías,Chile,8.83,Tri,2019-05-26
HD 148516,Willy Steiger ,Switzerland,8.3,Oph,2019-05-27
HD 109511,Maisie Thornton,USA,5.03,Com,2019-05-28
HD 115067,Bao Kao,China,8.07,Cen,2019-05-29
HD 170818,Li Hua Ku,China,7.21,Ser,2019-05-29
HD 43941,Zachary Knight,USA,7.34,Pup,2019-05-29
HD 88551,Edna Rivera,Cuba,9.4,Hya,2019-05-29
HD 145729,Jayden Bailey ,United Kingdom,7.59,CrB,2019-05-30
HD 215742,Penny Rocha,Spain,8.67,Tuc,2019-05-31
HD 52779,Jolan Szûts,Hungary,8.74,CMa,2019-05-31
HD 113953,Marcel Imhof ,Switzerland,7.3,Cen,2019-05-31
HD 159892,Urbano Almaraz,Spain,9.35,Oph,2019-06-01
HD 40620,Hoyt Kohler ,USA,8.98,Lep,2019-06-02
HD 222854,Alfred Coulon ,France,7.64,And,2019-06-02
HD 13289,Aabha Usman ,India,8.28,For,2019-06-02
HD 81299,Valdo Montalvo,Argentina,7.39,Leo,2019-06-02
HD 107865,Salma Martin ,Belgium,8.92,Vir,2019-06-03
HD 87828,Madeleine Glover,USA,7.62,Ant,2019-06-03
HD 38511,Mishael Saliba,Pakistan,6.89,Dor,2019-06-03
HD 136347,Mollie Richards,USA,6.57,Lup,2019-06-03
HD 143483,Wafiq Ramnarine ,India,8.68,Lib,2019-06-04
HD 215696,Mahasin Quraishi,Saudi Arabia,7.35,Aqr,2019-06-04
HD 199746,Alexandra Fox,Ireland,8.86,Aqr,2019-06-04
HD 25887,Anshula Gobin ,India,6.4,Oct,2019-06-04
HD 56900,Rakhi Raman ,India,8.34,CMa,2019-06-04
HD 106304,Kristine Mogensen,Denmark,9.06,Cen,2019-06-04
HD 66711,Christa Sieber ,Switzerland,7.89,Cnc,2019-06-04
HD 155392,Fortunata Echevarría,Spain,7.66,Oct,2019-06-05
HD 69288,Burak Demirbaş ,Turkey,8.37,Cnc,2019-06-06
HD 111486,Sarah Brady,New Zealand,8.18,Vir,2019-06-07
HD 212563,Morgan Wall,USA,9.51,Aqr,2019-06-07
HD 208370,'Ajib Mansour,Pakistan,9,Gru,2019-06-08
HD 42896,Catherine Tanguy ,France,8.62,Ori,2019-06-09
HD 220367,Zahwah Kassab,Iran,6.88,Ind,2019-06-10
HD 208439,Roza Pásztor,Hungary,7.6,Cep,2019-06-10
HD 5590,Shuhrah Saliba,Pakistan,9.21,Cet,2019-06-10
HD 154512,Upasana Loyal ,India,9.11,Her,2019-06-11
HD 215031,Bianca Cardoso,Brazil,7.7,Peg,2019-06-12
HD 30870,Bernabeu Armendáriz,Chile,6.11,Ori,2019-06-12
HD 148602,Guo Kê,China,9.15,Her,2019-06-13
HD 19389,Nida' Boutros,Saudi Arabia,7.97,Ari,2019-06-14
HD 46421,Eduarda Gomes,Brazil,8.08,Aur,2019-06-14
HD 145655,Wulfilde Orellana,Columbia,9.28,Sco,2019-06-14
HD 72907,Shahidah Deeb,UAE,8.05,Cnc,2019-06-14
HD 183107,Faiza Tuma,Siria,8.38,Aql,2019-06-14
HD 22383,Aliz Petö,Hungary,7.92,Ret,2019-06-14
HD 190031,Harriet Hawkins,USA,9.34,Aql,2019-06-14
HD 14122,Nahlah Sayegh,UAE,8.85,Hor,2019-06-15
HD 130969,Karel ﻿Novotný,Slovakia,8.4,Vir,2019-06-15
HD 37738,Xue Han,China,8.26,Tau,2019-06-16
HD 73046,Baysan Koury,Saudi Arabia,8.11,Cnc,2019-06-16
HD 67341,Bianca Carrero,Guatemala,6.18,Vel,2019-06-16
HD 85129,Teresa Sorokina,Russia,6.8,Hya,2019-06-16
HD 64315,Ute Feierabend,Austria,9.19,Pup,2019-06-16
HD 164646,Prudencia Soto,Spain,5.69,Her,2019-06-16
HD 131989,Eve Rahman,USA,7.95,Vir,2019-06-16
HD 154009,Hulyah Nader,Egypt,7.42,Dra,2019-06-17
HD 139426,Matteus Holm,Sweden,8.53,Lib,2019-06-18
HD 172114,Pushpa Seth ,India,7.41,Dra,2019-06-18
HD 151553,Manuela Tomčić ,Croatia,8.88,Aps,2019-06-19
HD 83702,Natalia Balashova,Russia,7.56,Hya,2019-06-19
HD 581,Isabelle Oliveira,Brazil,8.78,Hyi,2019-06-19
HD 22711,Daira Vallejo,Spain,8.79,Tau,2019-06-19
HD 168005,Isai Rippin ,USA,9.7,Sgr,2019-06-19
HD 197000,Boris Palermo,Italy,8.85,Mic,2019-06-19
HD 202201,Ildebrando Endrizzi,Italy,8.13,Equ,2019-06-19
HD 61232,Anna Jäggi ,Switzerland,9.04,Cam,2019-06-19
HD 164113,Marisa Melo,Brazil,9.33,Aps,2019-06-19
HD 37161,Sofia Barbosa,Brazil,9.08,Lep,2019-06-20
HD 43384,Sun Hsü,China,6.24,Gem,2019-06-20
HD 90184,Marthe Remy ,France,8.89,Sex,2019-06-20
HD 101720,Goratze Romero,Spain,9,Cen,2019-06-20
HD 276861,Angela Vasilieva,Russia,8.86,Per,2019-06-21
HD 111934,Jannie Homenick ,USA,6.91,Cru,2019-06-21
HD 1532,Mumayyaz Moghadam,Saudi Arabia,7.78,Phe,2019-06-22
HD 11527,Atifa Khouri,Pakistan,9.39,Phe,2019-06-23
HD 83581,Dario Ziegler ,Switzerland,7.31,Hya,2019-06-23
HD 146112,Yvonne Frei ,Switzerland,9.34,Her,2019-06-24
HD 103220,Suzanne Lefebvre ,France,8.78,Cen,2019-06-24
HD 188985,Ana Cunha,Brazil,8.55,Tel,2019-06-24
HD 216368,Yamha Sleiman,UAE,8.15,Cep,2019-06-25
HD 207675,Hayde Ramos,Argentina,7.26,Peg,2019-06-25
HD 54104,Nimsi Meléndez,Columbia,8.33,Mon,2019-06-25
HD 60842,Naima Kriek,South Africa,9.68,Vol,2019-06-25
HD 222146,Ana Gomes,Brazil,7.7,Psc,2019-06-25
HD 92435,Gwendolyn Grimes ,USA,7.49,Vel,2019-06-26
HD 136239,Allen Atwine ,Nigeria,7.8,Cir,2019-06-26
HD 194671,Cameron Young,New Zealand,8.7,Del,2019-06-26
HD 11931,Tânia Cunha,Portugal,8.45,For,2019-06-27
HD 196317,Karin Abendroth,Austria,6.22,Pav,2019-06-28
HD 131811,Karla Avilés,Argentina,7.69,Lib,2019-06-29
HD 216429,Dirkje Hanekamp,Netherlands,8.34,Lac,2019-06-30
HD 96483,Baron VonRueden ,USA,7.73,Crt,2019-06-30
HD 190571,Herbert Konopelski ,USA,7.47,Cyg,2019-06-30
HD 71094,Ece Türkdoğan ,Turkey,8.46,Hya,2019-06-30
HD 167231,Joasia Wieczorek,Poland,7.42,Sgr,2019-06-30
HD 70310,Domenica Buckridge ,USA,9.54,Cha,2019-06-30
HD 44492,Maria Reid ,United Kingdom,8.23,Lyn,2019-06-30
HD 22840,Agnes Bezrukova,Russia,9.32,For,2019-07-01
HD 27353,Erin McDonald,Australia,8.41,Eri,2019-07-01
HD 148657,Naira Díaz,Spain,8.56,Sco,2019-07-02
HD 132753,Anil Parikh ,India,7.75,Boo,2019-07-03
HD 192443,Zarina Nevzorova,Russia,7.61,Cyg,2019-07-04
HD 108768,Helmer Robel ,USA,8.9,Hya,2019-07-05
HD 140347,Nika Matić ,Croatia,8.91,Ser,2019-07-05
HD 105929,Alice Sousa,Portugal,8.86,Vir,2019-07-06
HD 10108,Hassan Kalla ,India,8.1,Cas,2019-07-07
HD 217728,Krystyna Dudek,Poland,8.71,Ind,2019-07-07
HD 27328,Cleofás Candelaria,Argentina,9.04,Eri,2019-07-07
HD 33637,Sheetal Shan ,India,9.77,Ori,2019-07-07
HD 195023,Savita Warrior ,India,8.61,Aql,2019-07-08
HD 179373,Houd Maalouf,Saudi Arabia,8.78,Aql,2019-07-09
HD 30857,Milena Korovina,Russia,9.21,Eri,2019-07-09
HD 211225,Lucas Ali,USA,8.42,Oct,2019-07-09
HD 218967,Celmira Mora,Spain,8.66,Psc,2019-07-10
HD 128216,Andy Cooper ,United Kingdom,8.89,Cir,2019-07-11
HD 186357,Amy Sharpe,USA,6.54,Cyg,2019-07-11
HD 24961,Hamid Shadid,Saudi Arabia,8.41,Tau,2019-07-11
HD 31761,Serena Lehner ,Philippines,5.95,Aur,2019-07-11
HD 87127,Bianca Pisano,Italy,6.75,LMi,2019-07-11
HD 12925,Isobel Sutton,USA,9.38,For,2019-07-11
HD 88966,Alana Kuhlman ,USA,6.75,Vel,2019-07-11
HD 234026,Kalpana Sahota ,India,9.66,UMa,2019-07-11
HD 159796,Elia Schwarz ,Switzerland,7.18,Her,2019-07-11
HD 2563,Emily Araujo,Brazil,8.32,And,2019-07-11
HD 24070,Xue Fang Ch'ien,China,6.95,For,2019-07-12
HD 257415,Laveena Kadakia ,India,9.19,Gem,2019-07-12
HD 221853,Rebecca Poole,USA,7.35,Peg,2019-07-13
HD 221381,An Tsui,China,8.76,Peg,2019-07-13
HD 176141,Eva Parkinson,New Zealand,7.59,Aql,2019-07-13
HD 2894,Costel Rotaru ,Romania,7.07,Cet,2019-07-13
HD 73346,Zara Hansson,Sweden,8.11,Cnc,2019-07-14
HD 59582,Rosilda Partida,Venezuela,8.94,Gem,2019-07-14
HD 24142,Rut Paz,Spain,8.39,Per,2019-07-14
HD 105854,Şahnur Köylüoğlu ,Turkey,8.68,Cen,2019-07-14
HD 101881,Abby Conway,Ireland,8.36,Hya,2019-07-14
HD 79015,Umayyah Said,Pakistan,8.53,Pyx,2019-07-14
HD 210808,Kutay Özbir ,Turkey,7.32,Cep,2019-07-14
HD 29019,Rachelle Donnelly ,USA,7.79,Cam,2019-07-14
HD 210233,David Zwahlen ,Switzerland,8.97,Gru,2019-07-14
HD 163245,Ala' Kattan,Bangladesh,6.48,Sgr,2019-07-14
HD 35561,Verónica Valenzuela,Spain,8.93,Ori,2019-07-14
HD 190173,Simone Fruehauf,Austria,7.58,Aql,2019-07-14
HD 209841,Cale Schmeler ,Philippines,7.51,Cep,2019-07-14
HD 139590,Tamara Mårtensson,Sweden,7.5,Ser,2019-07-14
HD 163109,Åke Haatainen,Finland,7.96,Sco,2019-07-14
HD 238786,Felix Kruse,Norway,8.79,Dra,2019-07-15
HD 133962,Fideli Lindgren,Sweden,5.59,Boo,2019-07-15
HD 28053,Gundenia Arévalo,Columbia,6.76,Eri,2019-07-15
HD 84475,Juan He,China,8.6,Ant,2019-07-16
HD 114398,Isabella Sukhorukova,Russia,8.73,CVn,2019-07-17
HD 25109,Eva Čermáková,Czech Republic,8.04,Per,2019-07-17
HD 55337,Luana Udinesi,Italy,7.77,Mon,2019-07-17
HD 185785,Robbie Wisozk ,USA,7.53,Aql,2019-07-17
HD 237846,Fulvia Sagese,Italy,9.93,UMa,2019-07-17
HD 337777,Aatif Mitra ,India,8.91,Lyr,2019-07-18
HD 8885,Medoro Lagrange,Canada,8.51,Cet,2019-07-18
HD 180377,Chasity Nikolaus ,Philippines,6.46,Sge,2019-07-18
HD 59976,Bienvenida Cavazos,Peru,7.87,Lyn,2019-07-18
HD 122089,Line Jacobsen,Denmark,8.16,Cen,2019-07-18
HD 150161,Kania Tarihoran ,Indonesia,7.75,Oph,2019-07-18
HD 40914,Laura Achen,Austria,7.74,Ori,2019-07-18
HD 7486,Alexandrea Dicki ,USA,9,Psc,2019-07-19
HD 41935,Dinesh Bal ,India,8.29,Col,2019-07-19
HD 11407,Carmella Beahan ,Philippines,8.65,Hyi,2019-07-19
HD 17688,Julieta Azevedo,Brazil,7.22,Cas,2019-07-19
HD 168201,Alisha Brooks,USA,7.17,Oph,2019-07-20
HD 208277,Erin Harvey,Ireland,7.74,Peg,2019-07-20
HD 166517,Huan Yue Wu,China,8.39,Her,2019-07-21
HD 134403,Abbas Kala ,India,7.64,Aps,2019-07-21
HD 15007,Sweta Barad ,India,8.7,Hor,2019-07-21
HD 70886,Tyree Vandervort ,USA,8.58,Pup,2019-07-22
HD 31392,Christine Schroder,Austria,7.6,Cae,2019-07-23
HD 10985,Valentin Klaassens,Netherlands,8.41,Cet,2019-07-23
HD 112869,Leonie Möller,Austria,9.08,CVn,2019-07-23
HD 200857,Prisc Tejeda,Spain,7.14,Cyg,2019-07-24
HD 66791,Kemberley Uribe,Guatemala,8.72,Pup,2019-07-24
HD 113472,Hyesuk Choe ,South Korea,9.73,Cen,2019-07-25
HD 196410,Elena Zaytseva,Russia,8.34,Del,2019-07-25
HD 67147,Manu Lentz,Netherlands,6.83,Lyn,2019-07-25
HD 57728,Jyoti Dube ,India,6.66,Gem,2019-07-26
HD 147733,Demi Hudson,USA,7.76,Dra,2019-07-27
HD 61422,Gabrielle Correia,Brazil,8,CMi,2019-07-27
HD 127208,Callie Fritsch ,USA,6.92,Lib,2019-07-27
HD 213574,Juman Asghar,Saudi Arabia,7.07,Aqr,2019-07-27
HD 92245,Renata Mishina,Russia,6.04,Hya,2019-07-28
HD 182740,Yasmin Robson,USA,8.05,Aql,2019-07-28
HD 213144,Yasmin Lima,Brazil,8.82,Peg,2019-07-28
HD 184498,Anjana Lala ,India,7.94,Cyg,2019-07-28
HD 35578,Robert Lewis,USA,7.91,Col,2019-07-29
HD 74811,Leah Lee,USA,6.6,Cnc,2019-07-29
HD 219613,Yvonne Achen,Austria,8.49,Peg,2019-07-30
